Console Variable Name                                            | Actual Value     | Default Value    | Minimum        | Maximum        | Help
r_eyeglintlodpixels                                              | 20.0             | 20.0             |                |                | The number of pixels wide an eyeball has to be before rendering an eyeglint. Is a floating point value.
r_flashlightrenderworld                                          | 1                | 1                |                |                | 
map_noareas                                                      | 0                | 0                |                |                | Disable area to area connection testing.
host_rules_show                                                  | 1                | 1                |                |                | How server rules get disclosed in server queries: 0 - query disabled, 1 - query enabled
mat_depthfeather_enable                                          | 1                | 1                |                |                | 
ai_debug_doors                                                   | 0                | 0                |                |                | 
fire_maxabsorb                                                   | 50               | 50               |                |                | 
mp_spec_swapplayersides                                          | 0                | 0                | 0.000000       | 1.000000       | Toggle set the player names and team names to the opposite side in which they are are on the spectator panel.
inferno_child_spawn_interval_multiplier                          | 0.1              | 0.1              |                |                | Amount spawn interval increases for each child
room_type                                                        | 0                | 0                |                |                | 
snd_sos_show_track_list                                          | 0                | 0                |                |                | 
net_compressvoice                                                | 0                | 0                |                |                | Attempt to compress out of band voice payloads (360 only).
sv_standable_normal                                              | 0.7              | 0.7              |                |                | 
global_event_log_enabled                                         | 0                | 0                |                |                | Enables the global event log system
ammo_buckshot_impulse                                            | 600              | 600              |                |                | You must enable tweaking via tweak_ammo_impulses to use this value.
mp_tkpunish                                                      | 0                | 0                |                |                | Will TK'ers and team damagers be punished in the next round? {0=no, 1=yes}
weapon_recoil_suppression_shots                                  | 4                | 4                |                |                | Number of shots before weapon uses full recoil
snd_moviefix                                                     | 1                | 1                |                |                | Defer sound recording until next tick when laying off movies.
host_syncfps                                                     | 0                | 0                |                |                | Synchronize real render time to host_framerate if possible.
sv_enable_delta_packing                                          | 1                | 0                |                |                | When enabled, this allows for entity packing to use the property changes for building up the data. This is many times faster, but can be disabled for error checking.
mem_max_heapsize                                                 | 1024             | 1024             |                |                | Maximum amount of memory to dedicate to engine hunk and datacache (in mb)
mat_exclude_async_update                                         | 1                | 1                |                |                | 
scene_flatturn                                                   | 1                | 1                |                |                | 
mp_dm_bonus_length_max                                           | 30               | 30               |                |                | Maximum time the bonus time will last (in seconds)
mp_retake_t_loadout_light_buy_round                              | 0|2;#GameUI_Reta | 0|2;#GameUI_Reta |                |                | T Loadouts for force buy round when playing bomb site retake.
snd_async_stream_recover_from_exhausted_stream                   | 1                | 1                |                |                | If 1, recovers when the stream is exhausted when playing PCM sounds (prevents music or ambiance sounds to stop if too many sounds are played). Set to 0, to stop the sound otherwise.
sv_enableoldqueries                                              | 0                | 0                |                |                | Enable support for old style (HL1) server queries
tv_debug                                                         | 0                | 0                |                |                | GOTV debug info.
vprof_warningmsec                                                | 10               | 10               |                |                | Above this many milliseconds render the label red to indicate slow code.
mat_spewalloc                                                    | 0                | 0                |                |                | 
cash_team_winner_bonus_consecutive_rounds                        | 0                | 0                |                |                | 
cash_team_rescued_hostage                                        | 0                | 0                |                |                | 
voice_vox                                                        | false            | false            |                |                | 
sv_maxusrcmdprocessticks                                         | 0                | 16               |                |                | Maximum number of client-issued usrcmd ticks that can be replayed in packet loss conditions, 0 to allow no restrictions
sv_voice_proximity                                               | -1               | -1               |                |                | 
bot_autodifficulty_threshold_high                                | 5.0              | 5.0              | -20.000000     | 20.000000      | Upper bound above Average Human Contribution Score that a bot must be above to change its difficulty
cash_team_win_by_defusing_bomb                                   | 3250             | 3250             |                |                | 
sv_guardian_refresh_ammo_for_items_on_waves                      |                  |                  |                |                | List of additional weapons to refill ammo on waves.
bot_debug_target                                                 | 0                | 0                |                |                | For internal testing purposes.
sv_breachcharge_distance_max                                     | 1200             | 1200             |                |                | 
game_mode                                                        | 1                | 0                |                |                | The current game mode (based on game type). See GameModes.txt.
r_eyeshift_y                                                     | 0                | 0                |                |                | 
r_ambientlightingonly                                            | 0                | 0                |                |                | Set this to 1 to light models with only ambient lighting (and no static lighting).
mat_showlowresimage                                              | 0                | 0                |                |                | 
ai_moveprobe_jump_debug                                          | 0                | 0                |                |                | 
mp_feetyawrate                                                   | 400              | 400              |                |                | How many degrees per second that we can turn our feet or upper body.
lservercfgfile                                                   | listenserver.cfg | listenserver.cfg |                |                | 
ff_damage_decoy_explosion                                        | 0                | 0                |                |                | Enables or disables team damage from decoy detonation
mp_halftime_pausetimer                                           | 0                | 0                |                |                | Set to 1 to stay in halftime indefinitely. Set to 0 to resume the timer.
score_dropped_bomb_proximity_damage_bonus_radius_outer           | 600              | 600              |                |                | Outer radius (zero bonus) for doing damage near dropped bomb
contributionscore_team_kill                                      | -2               | -2               |                |                | amount of contribution score for a team kill, normally negative
bot_freeze                                                       | 0                | 0                |                |                | 
mp_retake_max_consecutive_rounds_same_target_site                | 2                | 2                |                |                | Limit the number of consecutive rounds targeting the same site.
adsp_door_height                                                 | 112              | 112              |                |                | 
snd_async_stream_fail                                            | 0                | 0                |                |                | Spew stream pool failures.
snd_sos_show_operator_start                                      | 0                | 0                |                |                | 
con_drawnotify                                                   | 1                | 1                |                |                | Disables drawing of notification area (for taking screenshots).
sv_logsdir                                                       | logs             | logs             |                |                | Folder in the game directory where server logs will be stored.
host_name_store                                                  | 1                | 1                |                |                | Whether hostname is recorded in game events and GOTV.
cpu_level                                                        | 2                | 2                |                |                | CPU Level - Default: High
ff_damage_grenade_hit                                            | 0                | 1                |                |                | Enables or disables team damage from thrown grenade impacts
sv_rollangle                                                     | 0                | 0                |                |                | Max view roll angle
sv_lagcompensationforcerestore                                   | 1                | 1                |                |                | Don't test validity of a lag comp restore, just do it.
mp_teamprediction_pct                                            | 0                | 0                |                |                | A value between 1 and 99 will show predictions in favor of CT team.
ammo_57mm_impulse                                                | 2000             | 2000             |                |                | You must enable tweaking via tweak_ammo_impulses to use this value.
snd_music_boost                                                  | 0                | 0                |                |                | Specifies an amount to boost music volume by
sv_endmatch_item_drop_interval_ancient                           | 3.5              | 3.5              |                |                | The time between drops on the end match scoreboard for ancient items 
demo_fastforwardstartspeed                                       | 2                | 2                |                |                | Go this fast when starting to hold FF button.
fast_fogvolume                                                   | 0                | 0                |                |                | 
r_decals                                                         | 2048             | 2048             |                |                | 
mod_WeaponWorldModelMinAge                                       | 3000             | 3000             | 0.000000       |                | 
r_dscale_basefov                                                 | 90               | 90               |                |                | 
filesystem_use_overlapped_io                                     | 1                | 1                |                |                | 
ai_navigator_generate_spikes                                     | 0                | 0                |                |                | 
step_spline                                                      | 0                | 0                |                |                | 
sv_max_distance_transmit_footsteps                               | 1250.0           | 1250.0           |                |                | Maximum distance to transmit footstep sound effects.
mp_match_restart_delay                                           | 1.000000         | 25               | 1.000000       | 9999.000000    | Time (in seconds) until a match restarts.
snd_sos_show_operator_updates                                    | 0                | 0                |                |                | 
r_drawmodelstatsoverlaymin                                       | 0.1              | 0.1              |                |                | time in milliseconds that a model must take to render before showing an overlay in r_drawmodelstatsoverlay 2
studio_queue_mode                                                | 1                | 1                |                |                | 
mat_forceaniso                                                   | 1                | 1                |                |                | 
ai_simulate_task_overtime                                        | 0                | 0                |                |                | 
ai_use_visibility_cache                                          | 1                | 1                |                |                | 
mp_radar_showall                                                 | 1                | 0                | 0.000000       | 3.000000       | Determines who should see all. 0 = default. 1 = both teams. 2 = Terrorists. 3 = Counter-Terrorists.
snd_sos_show_server_xmit                                         | 0                | 0                |                |                | 
mp_backup_restore_load_autopause                                 | 1                | 1                |                |                | Whether to automatically pause the match after restoring round data from backup
ammo_357sig_small_max                                            | 24               | 24               |                |                | 
mp_playerid                                                      | 2                | 0                | 0.000000       | 2.000000       | Controls what information player see in the status bar: 0 all names; 1 team names; 2 no names
score_team_damage_bonus                                          | 1                | 1                |                |                | Points awarded for each point of damage a nearby (in same zone) teammate does to enemies
nav_generate_fencetops                                           | 1                | 1                |                |                | Autogenerate nav areas on fence and obstacle tops
dtwatchclass                                                     |                  |                  |                |                | Watch all fields encoded with this table.
global_chatter_info                                              |                  |                  |                |                | Map/mode-specific responserules criteria used by calls to UTIL_GlobalChatter
mp_endmatch_votenextmap_wargames_nummodes                        | 1                | 1                |                |                | Maximum number of other War Games to include in endmatch voting during War Games
sv_damage_print_enable                                           | 1                | 1                |                |                | 0: no damage print in console. 1: damage print in console on death. 2: damage print in console only at next round restart.
mp_retake_ct_loadout_light_buy_round                             | 3|2;#GameUI_Reta | 3|2;#GameUI_Reta |                |                | CT Loadouts for force buy round when playing bomb site retake.
snd_mute_losefocus                                               | 1                | 1                |                |                | 
snd_dvar_dist_min                                                | 240              | 240              |                |                | Play full 'near' sound at this distance
mem_test_quiet                                                   | 0                | 0                |                |                | Don't print stats when memtesting
net_maxfragments                                                 | 1200             | 1200             | 256.000000     | 1200.000000    | Max fragment bytes per packet
mat_drawTitleSafe                                                | 0                | 0                |                |                | Enable title safe overlay
mp_dm_teammode_bonus_score                                       | 1                | 1                |                |                | Team deathmatch victory points to award for kill with bonus weapon
mp_force_pick_time                                               | 524288           | 15               |                |                | The amount of time a player has on the team screen to make a selection before being auto-teamed
CS_WarnFriendlyDamageInterval                                    | 3.0              | 3.0              |                |                | Defines how frequently the server notifies clients that a player damaged a friend
stripper_file_lowercase                                          | 0                | 0                |                |                | Load stripper configs in lowercase
cl_clanid                                                        | 0                | 0                |                |                | Current clan ID for name decoration
er_colwidth                                                      | 100              | 100              |                |                | 
mat_triplebuffered                                               | 0                | 0                |                |                | This means we want triple buffering if we are fullscreen and vsync'd
fire_absorbrate                                                  | 3                | 3                |                |                | 
r_AirboatViewZHeight                                             | 0.0              | 0.0              |                |                | 
tv_allow_camera_man_steamid2                                     |                  |                  |                |                | Allows tournament production tv cameraman to run csgo.exe -interactivecaster on SteamID 7650123456XXX and be the tv camera man.
mp_ggtr_bomb_pts_for_upgrade                                     | 2.0              | 2.0              | 1.000000       | 10.000000      | Kill points required to upgrade a player's weapon
mp_death_drop_taser                                              | 1                | 1                | 0.000000       | 1.000000       | Drop taser on player death
mp_economy_reset_rounds                                          | 0                | 0                |                |                | Reset all player money every N rounds (0 for never)
nav_generate_incremental_tolerance                               | 0                | 0                |                |                | Z tolerance for adding new nav areas.
sv_filterban                                                     | 1                | 1                |                |                | Set packet filtering by IP mode
sv_logsocket2_substr                                             |                  |                  |                |                | Uses a substring match for second source of sv udp logging
tv_broadcast_url                                                 | http://localhost | http://localhost |                |                | URL of the broadcast relay
tv_broadcast_url1                                                | http://localhost | http://localhost |                |                | URL of the broadcast relay1
net_fakejitter                                                   | 0                | 0                |                |                | Jitter fakelag packet time
old_radiusdamage                                                 | 0.0              | 0.0              |                |                | 
ammo_50AE_headshot_mult                                          | 1.0              | 1.0              |                |                | You must enable tweaking via tweak_ammo_impulses to use this value.
bot_traceview                                                    | 0                | 0                |                |                | For internal testing purposes.
name                                                             | unnamed          | unnamed          |                |                | Current user name
r_decalstaticprops                                               | 1                | 1                |                |                | Decal static props test
sv_cheats                                                        | 0                | 0                |                |                | Allow cheats on server
mat_picmip                                                       | 0                | 0                | -10.000000     | 4.000000       | 
ai_use_think_optimizations                                       | 1                | 1                |                |                | 
r_VehicleViewDampen                                              | 1                | 1                |                |                | 
mp_shield_speed_holstered                                        | 200              | 200              |                |                | The max speed of a player when they have a shield holstered
mp_ggtr_num_rounds_autoprogress                                  | 3                | 3                |                |                | Upgrade the player's weapon after this number of rounds without upgrading
mp_dm_bonus_respawn                                              | 0                | 0                |                |                | When attempting to get the bonus weapon in deathmatch, whether we should respawn you with it or just give it to you directly
mp_damage_vampiric_amount                                        | 0                | 0                |                |                | If Set to non-0, will determine the fraction of damage dealt that will be given to attacker.
weapon_debug_inaccuracy_only_up                                  | 0                | 0                |                |                | Force weapon inaccuracy to be in exactly the up direction
nav_drag_selection_volume_zmin_offset                            | 32               | 32               |                |                | The offset of the nav drag volume bottom from center
nav_show_danger                                                  | 0                | 0                |                |                | Show current 'danger' levels.
snd_music_volume_onetime_reset_2                                 | 0                | 0                |                |                | 
demo_pauseatservertick                                           | 0                | 0                |                |                | Pauses demo playback at server tick
sv_hibernate_postgame_delay                                      | 0                | 5                |                |                | # of seconds to wait after final client leaves before hibernating.
sv_pure_kick_clients                                             | 0                | 1                |                |                | If set to 1, the server will kick clients with mismatching files. Otherwise, it will issue a warning to the client.
tv_broadcast_terminate                                           | 1                | 1                |                |                | Terminate every broadcast with a stop command
mat_monitorgamma_tv_exp                                          | 2.5              | 2.5              | 1.000000       | 4.000000       | 
sv_party_mode                                                    | 0                | 0                |                |                | Party!!
mp_weapons_allow_zeus                                            | 1                | 1                |                |                | Determines how many Zeus purchases a player can make per round (0 to disallow, -1 to have no limit).
mp_use_respawn_waves                                             | 0                | 0                |                |                | When set to 1, and that player's team is set to respawn, they will respawn in waves. If set to 2, teams will respawn when the whole team is dead.
sv_vote_issue_timeout_allowed                                    | 1                | 1                |                |                | Can people hold votes to time out?
bot_join_delay                                                   | 0                | 0                |                |                | Prevents bots from joining the server for this many seconds after a map change.
weapon_recoil_decay2_lin                                         | 18               | 18               |                |                | Decay factor (linear term) for weapon recoil
nav_snap_to_grid                                                 | 0                | 0                |                |                | Snap to the nav generation grid when creating new nav areas
mm_datacenter_update_interval                                    | 3600             | 3600             |                |                | Interval between datacenter stats updates.
adsp_scale_delay_feedback                                        | 0.2              | 0.2              |                |                | 
occlusion_test_async                                             | 1                | 0                |                |                | Enable asynchronous occlusion test in another thread; may save some server tick time at the cost of synchronization overhead with the async occlusion query thread
tv_broadcast_origin_delay                                        | 0                | 0                |                |                | Injection delay request for CDN rebroadcast frameworks, seconds
ai_find_lateral_cover                                            | 1                | 1                |                |                | 
sv_highlight_distance                                            | 500              | 500              |                |                | 
mp_endmatch_votenextmap_keepcurrent                              | 1                | 1                |                |                | If set, keeps the current map in the list of voting options. If not set, the current map will not appear in the list of voting options.
mp_td_dmgtowarn                                                  | 200              | 200              |                |                | The damage threshhold players have to exceed in a match to get warned that they are about to be kicked.
weapon_reticle_knife_show                                        | 1                | 1                |                |                | When enabled will show knife reticle on clients. Used for game modes requiring target id display when holding a knife.
nav_selected_set_border_color                                    | 100 100 0 255    | 100 100 0 255    |                |                | Color used to draw the selected set borders while editing.
nav_test_node                                                    | 0                | 0                |                |                | 
metamod_version                                                  | 1.12.0-dev+1164  | 1.12.0-dev+1164  |                |                | Metamod:Source Version
voice_positional_seconds_after_death                             | 6.0              | 6.0              |                |                | 
bugreporter_console_bytes                                        | 15000            | 15000            |                |                | Max # of console bytes to put into bug report body (full text still attached).
save_spew                                                        | 0                | 0                |                |                | 
voice_xsend_debug                                                | 0                | 0                |                |                | 
debug_touchlinks                                                 | 0                | 0                |                |                | Spew touch link activity
mp_startmoney                                                    | 0                | 800              | 0.000000       |                | amount of money each player gets when they reset
molotov_throw_detonate_time                                      | 2.0              | 2.0              |                |                | 
r_lightmap                                                       | -1               | -1               |                |                | 
net_compresspackets_minsize                                      | 1000             | 1000             |                |                | Don't bother compressing packets below this size.
ai_debug_directnavprobe                                          | 0                | 0                |                |                | 
ai_no_talk_delay                                                 | 0                | 0                |                |                | 
sv_air_max_wishspeed                                             | 30               | 30               |                |                | 
sv_maxusrcmdprocessticks_warning                                 | -1               | -1               |                |                | Print a warning when user commands get dropped due to insufficient usrcmd ticks allocated, number of seconds to throttle, negative disabled
bot_auto_follow                                                  | 0                | 0                |                |                | If nonzero, bots with high co-op may automatically follow a nearby human player.
net_chan_stats_dump                                              | 0                | 0                |                |                | Netchannel statistics will dump in the logs upon request
net_chan_limit_msec                                              | 0                | 0                |                |                | Netchannel processing is limited to so many milliseconds, abort connection if exceeding budget
budget_panel_bottom_of_history_fraction                          | .25              | .25              |                |                | number between 0 and 1
mat_local_contrast_vignette_start_override                       | -1.0             | -1.0             |                |                | 
mat_texture_list_exclude_editing                                 | 0                | 0                |                |                | 
scene_clientplayback                                             | 1                | 1                |                |                | Play all vcds on the clients.
mp_backup_round_file_pattern                                     |                  | %prefix%_round%r |                |                | If set then server will save all played rounds information to files named by this pattern, e.g.'%prefix%_%date%_%time%_%team1%_%team2%_%map%_round%round%_score_%score1%_%score2%.txt'
sv_nomvp                                                         | 0                | 0                |                |                | Disable MVP awards.
bot_quota                                                        | 10               | 10               |                |                | Determines the total number of bots in the game.
sv_dz_last_respawn_warning                                       | 15               | 15               |                |                | 
sv_dz_show_security_door_item_price                              | 0                | 0                |                |                | 
snd_duckerreleasetime                                            | 2.5              | 2.5              |                |                | 
tv_playcast_showerrors                                           |                  |                  |                |                | Set to display headers upon error (e.g. "CF-Ray,CF-Cache-Status,Body" )
r_visualizelighttracesshowfulltrace                              | 0                | 0                |                |                | 
threadpool_affinity                                              | 1                | 1                |                |                | Enable setting affinity
testscript_running                                               | 0                | 0                |                |                | Set to true when test scripts are running
budget_bargraph_range_ms                                         | 16.6666666667    | 16.6666666667    |                |                | budget bargraph range in milliseconds
sv_phys_props_block_movers                                       | 0                | 0                |                |                | 
mp_weapon_self_inflict_amount                                    | 0                | 0                |                |                | If Set to non-0, will hurt the attacker by the specified fraction of max damage if they miss.
ff_damage_reduction_bullets                                      | 0                | 0.1              |                |                | How much to reduce damage done to teammates when shot. Range is from 0 - 1 (with 1 being damage equal to what is done to an enemy)
cl_showpluginmessages2                                           | 0                | 0                |                |                | Allow plugins to display messages to you
spec_replay_rate_base                                            | 1                | 1                |                |                | Base time scale of Killer Replay.Experimental.
sv_dz_squad_wipe_reward                                          | 2                | 2                |                |                | Number of cash bundles to award for eliminating a squad
mp_dm_bonusweapon_dogtags                                        | 0                | 0                |                |                | Additional dogtags to drop when making a kill with the bonus weapon
bot_allow_pistols                                                | 1                | 1                |                |                | If nonzero, bots may use pistols.
bot_max_vision_distance_override                                 | -1               | -1               | -1.000000      |                | Max distance bots can see targets.
rcon_address                                                     |                  |                  |                |                | Address of remote server if sending unconnected rcon commands (format x.x.x.x:p) 
cl_clockdrift_max_ms                                             | 150              | 150              |                |                | Maximum number of milliseconds the clock is allowed to drift before the client snaps its clock to the server's.
mem_force_flush                                                  | 0                | 0                |                |                | Force cache flush of unlocked resources on every alloc
mat_supportflashlight                                            | -1               | -1               |                |                | 0 - do not support flashlight (don't load flashlight shader combos), 1 - flashlight is supported
mat_bufferprimitives                                             | 1                | 1                |                |                | 
mp_allowNPCs                                                     | 1                | 1                |                |                | 
sv_staminarecoveryrate                                           | 0                | 60               | 0.000000       |                | Rate at which stamina recovers (units/sec)
mp_guardian_special_weapon_needed                                | awp              | awp              |                |                | The weapon that needs to be used to increment the kills needed to complete the mission.
nav_test_node_crouch_dir                                         | 4                | 4                |                |                | 
display_game_events                                              | 0                | 0                |                |                | 
save_asyncdelay                                                  | 0                | 0                |                |                | For testing, adds this many milliseconds of delay to the save operation.
mat_motion_blur_percent_of_screen_max                            | 4.0              | 4.0              |                |                | 
ai_no_local_paths                                                | 0                | 0                |                |                | 
tv_delay                                                         | 10               | 10               | 0.000000       | 120.000000     | GOTV broadcast delay in seconds
tv_delay1                                                        | 15               | 15               | 0.000000       | 120.000000     | GOTV[instance 1] broadcast delay in seconds
sk_player_leg                                                    | 1                | 1                |                |                | 
sv_snowball_strength                                             | 12.0             | 12.0             | 2.000000       | 64.000000      | Snowball strength
inferno_debug                                                    | 0                | 0                |                |                | 
mp_hostages_spawn_same_every_round                               | 1                | 1                |                |                | 0 = spawn hostages randomly every round, 1 = same spawns for entire match.
sv_voice_proximity_use_falloff                                   | 0                | 0                |                |                | 
cl_failremoteconnections                                         | 0                | 0                |                |                | Force connection attempts to time out
r_overlayfadeenable                                              | 0                | 0                |                |                | 
sv_stats                                                         | 1                | 1                |                |                | Collect CPU usage stats
r_lightcache_radiusfactor                                        | 1000             | 1000             |                |                | Allow lights to influence lightcaches beyond the lights' radii
